"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2","1","100 uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"D1","1","LED","","","","LED_THT:LED_D3.0mm",""
"D2","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"F1","1","Polyfuse","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"J1","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J2","1","Barrel_Jack","","","","Connector_BarrelJack:BarrelJack_Horizontal",""
"Q1","1","IRF9540N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf9540n.pdf"
"Q2","1","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"R1","1","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2,R4","2","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm",""
"U1","1","XIAO-ESP32-C3-SMD","","","","Seeed_Studio_XIAO_Series:XIAO-ESP32-C3-DIP",""
"U2","1","OKI-78SR-5_1.5-W36-C","","","","Converter_DCDC:Converter_DCDC_Murata_OKI-78SR_Vertical","https://power.murata.com/data/power/oki-78sr.pdf"
