<FONT size=10PTS>ITEM NO.,PART NUMBER,Desc1,Desc2,QTY.
1,6498K604,Round Body Air,Cylinder Mount,10
2,4952K126,Foot Bracket,for 7/16",20
3,1ml-syringe-push,proximal syringe pusher,n,10
4,stationary-mount,distal syringe holder,n/a,10
5,5779K246,Push-to-Connect Tube,Fitting for Air,20
6,92220A162,Alloy Steel Low-Profile,Socket Head Screw,60
7,baseplate,n/a,n/a,1
8,5469K191,Anodized Aluminum Right-,Angle Flow Manifold,2
9,6124K277,Air Directional,Control Valve,1
10,7397N268,Universal-Thread Push-to-,Connect Tube Fitting,4
11,53535A11,Rubber,Foot,4
12,7397N239,Universal-Thread Push-to-,Connect Tube Fitting,20
13,90107A010,Highly Corrosion-Resistant,316 Stainless Steel Washer,7
14,92220A157,Alloy Steel Low-Profile,Socket Head Screw,7
15,pcb-mount_v1,n/a,n/a,1
